area,ano,acertos,nota_min,nota_max,nota_media
MT,2015,16,330.9,687.7,567.56
MT,2015,17,332.7,695.0,594.2
MT,2015,18,341.1,706.2,619.0
MT,2015,19,360.3,724.1,641.02
MT,2015,20,358.2,731.9,660.59
MT,2015,21,430.0,745.3,678.23
MT,2015,22,483.7,756.2,694.29
MT,2015,23,533.2,765.0,709.44
MT,2015,24,587.6,783.1,723.65
MT,2015,25,634.8,793.9,737.57
MT,2015,26,643.7,800.4,750.98
MT,2015,27,676.4,816.3,764.12
MT,2015,28,684.8,825.3,776.98
MT,2015,29,705.0,838.7,790.03
MT,2015,30,712.6,845.8,802.71
MT,2015,31,735.6,862.8,815.67
MT,2015,32,742.4,877.4,828.87
MT,2015,33,776.1,888.1,842.87
MT,2015,34,771.3,909.2,857.2
MT,2015,35,805.6,926.3,873.01
MT,2015,36,813.6,940.4,888.58
MT,2015,37,825.7,957.1,905.7
MT,2015,38,822.7,972.7,924.49
MT,2015,39,870.6,982.7,943.42
MT,2015,40,905.9,992.7,960.79
MT,2015,41,927.1,1000.7,977.25
MT,2015,42,960.3,1004.0,990.01
MT,2015,43,981.4,1006.2,998.39
MT,2015,44,996.3,1007.7,1004.14
MT,2015,45,1008.3,1008.3,1008.3
CH,2016,0,319.9,319.9,319.9
CH,2016,1,319.9,361.0,327.97
CH,2016,2,320.0,394.6,338.09
CH,2016,3,320.0,418.8,346.62
CH,2016,4,320.5,441.8,356.74
CH,2016,5,320.6,454.1,368.0
CH,2016,6,321.8,471.9,379.75
CH,2016,7,321.6,485.4,392.4
CH,2016,8,323.1,500.5,405.84
CH,2016,9,323.0,523.7,420.16
CH,2016,10,326.7,529.1,434.99
CH,2016,11,329.3,545.4,450.2
CH,2016,12,332.7,561.8,465.48
CH,2016,13,338.0,568.9,480.65
CH,2016,14,345.6,584.5,495.53
CH,2016,15,350.6,588.4,509.74
CH,2016,16,363.9,603.7,523.21
CH,2016,17,380.8,605.2,536.01
CH,2016,18,394.7,616.9,548.03
CH,2016,19,394.3,627.7,559.32
CH,2016,20,432.8,629.5,569.89
CH,2016,21,459.1,637.7,579.81
CH,2016,22,475.1,643.5,589.45
CH,2016,23,499.5,652.3,598.5
CH,2016,24,517.4,666.4,607.51
CH,2016,25,533.1,672.9,616.15
CH,2016,26,546.7,681.1,624.88
CH,2016,27,566.4,686.8,633.45
CH,2016,28,574.8,692.5,642.11
CH,2016,29,580.8,699.2,650.94
CH,2016,30,592.0,711.1,659.89
CH,2016,31,595.6,720.0,669.17
CH,2016,32,623.4,730.3,678.6
CH,2016,33,629.6,737.2,687.95
CH,2016,34,642.7,746.5,697.96
CH,2016,35,651.9,752.7,708.24
CH,2016,36,667.9,766.0,718.76
CH,2016,37,676.8,784.9,729.67
CH,2016,38,689.7,789.1,741.22
CH,2016,39,704.8,806.4,753.77
CH,2016,40,716.0,819.5,767.28
CH,2016,41,727.0,829.5,782.11
CH,2016,42,748.6,841.9,799.07
CH,2016,43,774.0,850.6,818.43
CH,2016,44,793.0,859.1,834.33
CH,2016,45,859.1,859.1,859.1
CN,2016,0,361.2,361.2,361.2
CN,2016,1,361.2,400.1,367.89
CN,2016,2,361.2,423.2,374.26
CN,2016,3,361.3,446.5,380.59
CN,2016,4,361.4,467.4,387.86
CN,2016,5,361.5,494.8,395.66
CN,2016,6,361.7,514.0,404.54
CN,2016,7,362.3,532.6,414.19
CN,2016,8,362.8,546.4,425.01
CN,2016,9,364.0,560.3,437.01
CN,2016,10,365.4,574.3,450.51
CN,2016,11,367.5,580.4,465.5
CN,2016,12,369.4,588.1,481.98
CN,2016,13,369.5,597.1,499.71
CN,2016,14,370.8,604.3,518.08
CN,2016,15,379.0,614.3,536.35
CN,2016,16,385.8,618.8,553.98
CN,2016,17,395.7,629.0,569.79
CN,2016,18,405.2,634.2,584.01
CN,2016,19,432.2,640.1,596.47
CN,2016,20,476.2,647.3,607.41
CN,2016,21,464.4,652.6,617.04
CN,2016,22,520.7,657.2,626.04
CN,2016,23,550.5,665.1,634.31
CN,2016,24,575.3,673.2,642.53
CN,2016,25,599.4,680.4,650.26
CN,2016,26,611.4,685.5,657.9
CN,2016,27,614.7,694.6,665.5
CN,2016,28,628.7,698.8,673.01
CN,2016,29,644.3,705.3,680.59
CN,2016,30,646.2,716.1,688.34
CN,2016,31,665.6,719.1,696.1
CN,2016,32,666.5,727.8,703.48
CN,2016,33,683.0,733.3,711.52
CN,2016,34,688.1,742.8,719.63
CN,2016,35,698.9,754.0,727.86
CN,2016,36,709.5,759.2,736.32
CN,2016,37,712.6,769.4,745.29
CN,2016,38,723.7,780.4,754.9
CN,2016,39,739.8,790.4,764.98
CN,2016,40,753.2,799.8,775.66
CN,2016,41,762.8,817.5,788.63
CN,2016,42,781.4,837.6,803.08
CN,2016,43,801.7,853.0,821.21
CN,2016,44,820.6,862.4,843.4
CN,2016,45,871.3,871.3,871.3
LC,2016,0,340.8,342.7,341.65
LC,2016,1,340.8,387.1,349.44
LC,2016,2,340.9,410.6,357.65
LC,2016,3,341.0,429.5,368.3
LC,2016,4,341.0,450.3,378.78
LC,2016,5,341.9,470.0,390.51
LC,2016,6,342.7,481.9,403.17
LC,2016,7,343.5,497.3,416.99
LC,2016,8,345.6,508.5,431.37
LC,2016,9,346.3,519.5,446.66
LC,2016,10,348.2,529.0,462.05
LC,2016,11,351.9,538.5,477.46
LC,2016,12,358.3,549.0,492.31
LC,2016,13,363.7,560.3,506.34
LC,2016,14,369.9,572.5,519.46
LC,2016,15,370.6,582.1,531.56
LC,2016,16,390.0,589.4,542.64
LC,2016,17,408.6,602.5,552.89
LC,2016,18,434.0,606.1,562.22
LC,2016,19,451.6,617.3,571.1
LC,2016,20,482.8,620.4,579.38
LC,2016,21,516.8,628.1,587.37
LC,2016,22,524.2,635.7,594.93
LC,2016,23,544.4,640.6,602.34
LC,2016,24,547.6,648.6,609.52
LC,2016,25,539.5,655.3,616.68
LC,2016,26,575.7,661.7,623.68
LC,2016,27,580.4,667.3,630.68
LC,2016,28,587.4,676.6,637.88
LC,2016,29,596.1,683.6,645.03
LC,2016,30,604.9,692.8,652.5
LC,2016,31,611.4,696.6,660.19
LC,2016,32,619.2,708.0,668.14
LC,2016,33,630.8,715.7,676.55
LC,2016,34,635.3,725.0,685.64
LC,2016,35,647.8,733.3,694.92
LC,2016,36,658.8,740.5,705.27
LC,2016,37,670.5,753.0,715.6
LC,2016,38,683.1,774.1,728.81
LC,2016,39,693.3,780.9,741.69
LC,2016,40,717.3,789.8,754.0
LC,2016,41,736.0,802.6,758.56
LC,2016,42,755.3,777.6,766.0
LC,2016,43,746.0,795.1,764.67
MT,2016,0,331.3,331.3,331.3
MT,2016,1,331.3,365.0,342.49
MT,2016,2,331.4,396.1,348.82
MT,2016,3,331.6,427.8,357.58
MT,2016,4,331.9,461.9,367.6
MT,2016,5,332.1,492.7,378.48
MT,2016,6,332.9,528.3,390.59
MT,2016,7,333.3,557.2,403.89
MT,2016,8,334.3,574.4,418.71
MT,2016,9,334.7,587.9,435.16
MT,2016,10,337.8,598.4,453.39
MT,2016,11,340.3,612.7,473.55
MT,2016,12,344.7,628.0,495.23
MT,2016,13,346.5,639.0,518.6
MT,2016,14,353.9,652.0,542.64
MT,2016,15,353.9,663.5,567.4
MT,2016,16,361.6,676.8,591.22
MT,2016,17,374.0,685.7,613.27
MT,2016,18,393.5,701.2,633.64
MT,2016,19,404.5,709.7,651.43
MT,2016,20,434.2,723.8,667.49
MT,2016,21,472.8,731.2,681.98
MT,2016,22,557.8,739.7,695.53
MT,2016,23,548.6,753.0,708.35
MT,2016,24,632.5,762.8,720.65
MT,2016,25,645.4,770.1,732.42
MT,2016,26,646.8,782.3,743.99
MT,2016,27,687.1,793.3,755.35
MT,2016,28,701.5,800.2,766.67
MT,2016,29,717.5,812.3,777.97
MT,2016,30,723.8,826.3,789.13
MT,2016,31,745.0,833.9,800.25
MT,2016,32,752.4,842.3,811.5
MT,2016,33,770.5,858.1,823.2
MT,2016,34,782.7,868.2,835.38
MT,2016,35,792.9,879.2,847.4
MT,2016,36,813.6,892.8,860.86
MT,2016,37,828.0,907.1,874.85
MT,2016,38,846.4,920.0,889.12
MT,2016,39,862.0,934.9,904.82
MT,2016,40,866.0,951.3,921.2
MT,2016,41,887.2,964.9,937.79
MT,2016,42,919.9,976.7,954.63
MT,2016,43,945.8,985.3,969.22
MT,2016,44,966.1,990.5,981.51
MT,2016,45,991.5,991.5,991.5
CH,2017,0,334.7,334.7,334.7
CH,2017,1,334.7,376.1,343.9
CH,2017,2,334.7,409.0,352.53
CH,2017,3,334.7,434.6,361.8
CH,2017,4,334.8,444.6,371.47
CH,2017,5,335.1,462.3,382.05
CH,2017,6,335.9,479.1,393.72
CH,2017,7,336.3,492.5,405.92
