rank,CO_ITEM,area,hab,pos_azul,gab,a,b,c,p_obs,P_pred,misfit,pctA(disc),pctC(chute),pctMisfit,IPT
108,150643,LC,24,25,E,2.260,0.861,0.186,0.406,0.387,0.019,49,59,30,45.8
109,8460,MT,29,178,E,1.927,2.808,0.081,0.139,0.101,0.039,63,12,61,45.3
110,95445,CN,8,127,C,4.858,1.122,0.194,0.266,0.312,0.046,1,64,70,45.1
111,88661,CH,1,69,C,1.096,1.369,0.157,0.349,0.349,0.000,94,41,0,45.1
112,85827,CH,13,64,A,1.490,2.091,0.132,0.194,0.208,0.014,80,28,26,44.9
113,63713,MT,30,166,E,2.593,1.734,0.096,0.253,0.165,0.088,31,15,88,44.9
114,15396,MT,11,156,E,2.362,1.389,0.081,0.268,0.203,0.065,39,11,84,44.7
115,111927,CH,20,51,D,2.717,0.483,0.159,0.490,0.447,0.043,26,42,65,44.3
116,141162,CH,12,79,A,1.755,2.192,0.160,0.200,0.212,0.012,69,44,21,44.3
117,44510,MT,12,177,B,3.041,2.374,0.301,0.303,0.315,0.012,17,97,20,44.3
118,149787,CH,4,89,E,1.554,0.671,0.036,0.380,0.350,0.030,78,6,48,43.9
119,89916,CN,28,93,C,2.619,1.035,0.150,0.275,0.315,0.040,31,39,62,43.8
120,95816,MT,19,160,E,0.925,4.237,0.121,0.150,0.146,0.004,97,26,8,43.8
121,61018,CN,20,126,D,2.299,1.628,0.160,0.217,0.243,0.026,45,43,42,43.6
122,157751,LC,4,6,E,2.913,0.489,0.101,0.507,0.405,0.102,21,18,92,43.4
123,85913,CH,3,88,C,2.330,0.498,0.181,0.486,0.463,0.023,41,54,35,43.0
124,86958,CN,17,133,A,1.556,2.094,0.142,0.203,0.213,0.010,77,34,17,42.6
125,111771,MT,15,169,A,2.154,2.190,0.104,0.179,0.145,0.034,54,18,54,42.3
126,44047,LC,26,26,B,2.897,-0.596,0.024,0.870,0.702,0.167,22,4,99,41.9
127,97881,LC,22,37,A,3.432,0.904,0.281,0.445,0.433,0.013,9,94,21,41.5
128,97616,CN,17,128,E,2.307,0.517,0.184,0.447,0.461,0.014,43,56,25,41.3
129,141577,CN,23,105,E,2.327,1.102,0.142,0.274,0.304,0.030,42,35,47,41.2
130,125788,CH,21,83,D,1.339,1.590,0.132,0.270,0.274,0.004,85,29,8,40.6
131,150761,LC,17,29,A,2.235,1.071,0.131,0.331,0.304,0.026,50,27,43,40.0
132,157775,LC,22,10,E,3.672,1.085,0.138,0.341,0.280,0.061,6,33,81,39.9
133,141167,CH,22,76,C,2.191,1.567,0.148,0.226,0.243,0.017,53,37,28,39.5
134,141518,MT,6,161,A,2.021,1.269,0.177,0.319,0.316,0.003,60,53,6,39.5
135,117734,CN,28,116,C,1.972,1.252,0.097,0.229,0.254,0.025,61,16,40,39.1
136,88062,CN,29,92,D,2.726,0.534,0.226,0.473,0.479,0.005,26,81,11,39.1
137,44306,MT,25,167,D,3.863,1.721,0.216,0.285,0.263,0.022,4,78,34,38.7
138,90024,CH,19,75,B,2.694,0.798,0.221,0.421,0.417,0.004,27,80,7,38.4
139,76022,CN,21,95,C,3.421,0.812,0.399,0.538,0.541,0.002,10,100,3,37.8
140,141590,CN,1,114,B,1.780,0.599,0.157,0.440,0.437,0.003,68,41,4,37.8
141,84440,CN,9,111,B,2.862,1.412,0.108,0.166,0.211,0.045,23,21,69,37.8
142,83213,CN,21,117,D,2.984,1.925,0.187,0.250,0.227,0.023,18,60,35,37.8
143,158716,LC,14,23,C,2.293,1.013,0.093,0.316,0.284,0.033,46,15,53,37.6
144,154015,LC,8,4,D,2.904,1.663,0.125,0.150,0.194,0.043,21,26,65,37.6
145,125735,CH,29,47,D,1.935,0.980,0.166,0.357,0.359,0.002,63,47,3,37.4
146,56368,CH,27,70,B,1.487,1.752,0.120,0.228,0.232,0.004,80,25,7,37.4
147,88952,MT,22,153,A,2.276,2.434,0.156,0.194,0.180,0.014,47,40,24,37.1
148,55300,CH,9,58,D,1.312,0.624,0.050,0.393,0.383,0.010,86,7,18,36.9
149,141340,CH,24,66,D,1.732,2.721,0.145,0.174,0.172,0.002,70,36,4,36.5
150,84849,CH,10,67,D,4.599,2.679,0.271,0.269,0.276,0.007,3,92,12,35.9
151,111883,CH,12,50,A,4.665,2.184,0.249,0.255,0.265,0.010,2,86,19,35.8
152,111667,CN,14,103,A,0.768,1.537,0.057,0.302,0.301,0.000,99,7,1,35.6
153,111941,CH,25,87,B,2.261,1.023,0.168,0.336,0.342,0.006,48,47,11,35.6
154,97292,CN,1,135,A,2.791,1.626,0.113,0.151,0.189,0.037,25,22,59,35.2
155,141102,CH,7,46,E,2.300,1.002,0.164,0.349,0.342,0.008,44,46,14,34.8
156,140428,CH,8,54,E,2.891,0.382,0.194,0.504,0.494,0.010,22,63,18,34.6
157,67752,CN,20,113,B,2.882,1.911,0.114,0.125,0.161,0.035,23,23,56,34.1
158,141642,CN,6,120,B,6.003,2.444,0.286,0.289,0.293,0.004,0,95,6,33.7
159,111982,CH,21,52,C,2.105,1.303,0.132,0.260,0.269,0.009,55,30,16,33.5
160,153420,LC,20,30,B,2.378,1.724,0.147,0.205,0.219,0.014,39,37,25,33.5
161,153681,LC,26,36,D,3.645,1.009,0.206,0.365,0.351,0.014,6,71,23,33.5
162,95495,CH,11,74,B,3.084,1.647,0.153,0.191,0.219,0.027,16,40,44,33.1
163,95807,CH,16,55,D,2.647,1.192,0.199,0.325,0.328,0.002,30,67,2,32.8
164,117652,CN,7,91,D,2.673,0.811,0.111,0.304,0.332,0.028,28,22,45,31.8
165,84405,MT,2,180,D,2.567,2.275,0.132,0.179,0.160,0.019,32,30,31,31.3
166,84812,CH,1,72,D,2.518,1.231,0.136,0.255,0.271,0.016,34,32,27,30.9
167,87509,CH,2,48,E,3.638,1.153,0.146,0.247,0.275,0.028,7,36,46,29.6
168,96778,MT,28,137,B,3.130,1.899,0.083,0.166,0.129,0.037,14,12,59,28.5
169,149824,CH,6,68,E,3.199,0.613,0.201,0.435,0.437,0.002,13,69,1,27.6
170,60058,CN,3,108,C,2.433,2.004,0.068,0.094,0.117,0.024,35,9,37,27.0
171,157781,LC,30,9,C,3.443,1.037,0.137,0.315,0.291,0.024,8,32,37,26.1
172,43532,LC,18,38,B,4.754,0.976,0.184,0.343,0.331,0.012,2,56,20,25.9
173,77992,CN,7,121,B,3.073,2.224,0.099,0.150,0.124,0.026,16,17,42,25.1
174,141562,MT,9,171,E,2.332,2.574,0.106,0.132,0.125,0.007,40,20,13,24.4
175,118057,CH,30,80,C,2.527,0.770,0.126,0.351,0.356,0.005,33,27,10,23.3
176,153400,LC,27,13,E,4.609,0.805,0.106,0.334,0.308,0.026,3,20,41,21.2
177,140491,CH,26,59,B,3.193,1.385,0.099,0.188,0.201,0.013,13,17,22,17.5
178,140908,LC,29,32,E,4.017,1.505,0.063,0.118,0.143,0.025,4,8,39,17.1
179,96328,CN,26,131,E,3.421,1.930,0.069,0.118,0.110,0.008,9,9,15,11.4
180,141568,MT,18,140,E,3.466,2.925,0.079,0.091,0.084,0.007,8,11,12,10.1
