area,area_label,area_full,co_prova,cor,pos_area,co_posicao,co_item,habilidade,tp_lingua,lingua_label,anulado,motivo_anulacao,gab,pct_acerto,A,B,C,p_modelo_theta0,dif_xtri,total,categoria,categoria_ordem,discriminacao
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,34,34,120341,H19,,,False,,C,36.08,1.57743,0.96321,0.09612,0.159610582107452,76.99731216301562,3368961.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,35,35,150642,H23,,,False,,E,47.23,1.26109,1.31039,0.27904,0.32000824059528266,62.66896436130662,3368961.0,Médio,1,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,36,36,153681,H26,,,False,,D,36.47,3.6449,1.00902,0.2065,0.20802547879467082,73.7138438783464,3368961.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,37,37,97881,H22,,,False,,A,44.54,3.43242,0.90425,0.28122,0.28487485245504135,65.89413459042231,3368961.0,Médio,1,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,38,38,43532,H18,,,False,,B,34.34,4.75417,0.97598,0.1838,0.184106152184963,76.0141001079774,3368961.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,39,39,152784,H30,,,False,,C,61.17,2.93851,0.36901,0.18829,0.29921208493521995,59.14171447921069,3368961.0,Fácil,0,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,40,40,150607,H16,,,False,,A,34.25,1.60463,1.535,0.21298,0.22475405454178127,73.40348645478423,3368961.0,Difícil,2,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,41,41,153550,H12,,,False,,B,40.17,1.56252,0.97856,0.22899,0.28232950666019174,67.58908206708753,3368961.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,42,42,66526,H25,,,False,,A,44.09,2.68424,0.7301,0.15132,0.18060196524643546,72.82937225898169,3368961.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,43,43,157593,H3,,,False,,D,43.86,1.17057,0.6619,0.00779,0.21743514565544378,70.51571553239614,3368961.0,Difícil,2,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,44,44,17166,H24,,,False,,D,52.37,3.22461,0.66444,0.25447,0.2734975898675206,63.89315665861116,3368961.0,Médio,1,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,45,45,120714,H4,,,False,,C,55.02,2.622,0.59532,0.25859,0.3073516011514275,60.76514592515721,3368961.0,Médio,1,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,1,1,153930,H6,0.0,ING,False,,A,71.8,2.28024,0.18554,0.19951,0.4617207795334859,44.85814933032342,2016194.0,Fácil,0,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,1,1,140709,H7,1.0,ESP,False,,D,32.85,2.7718,0.94236,0.20053,0.20984634666247048,74.86248746693943,1352767.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,2,2,112036,H5,0.0,ING,False,,E,51.62,4.90205,0.71195,0.17497,0.17715092294538043,70.41819000855027,2016194.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,2,2,152688,H6,1.0,ESP,False,,B,54.43,1.12528,0.36546,0.2073,0.47048290394537307,50.36811124355075,1352767.0,Fácil,0,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,3,3,118169,H7,0.0,ING,False,,D,64.47,2.94472,0.59928,0.24615,0.2819016517962011,59.11189263324693,2016194.0,Fácil,0,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,3,3,153945,H8,1.0,ESP,False,,A,24.86,1.8208,1.32304,0.19745,0.21059439160112878,77.61036454592663,1352767.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,4,4,153836,H6,0.0,ING,False,,D,58.62,2.38626,0.67668,0.18733,0.2363883700003362,64.11775594997815,2016194.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,4,4,153833,H5,1.0,ESP,False,,C,52.0,2.32932,0.44342,0.201,0.3186989659803626,61.08456721127643,1352767.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,5,5,153875,H7,0.0,ING,False,,D,61.79,3.7284,0.3723,0.1705,0.242081340111296,62.638212892765765,2016194.0,Médio,1,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,5,5,154015,H8,1.0,ESP,False,,D,15.05,2.90355,1.66292,0.12537,0.125608186154945,86.56796789992858,1352767.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,6,6,157781,H30,,,False,,C,31.48,3.44333,1.03742,0.13709,0.13907437325947672,79.94216573813402,3368961.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,7,7,157775,H22,,,False,,E,34.11,3.6719,1.0849,0.13842,0.13940553372015016,79.00014030819024,3368961.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,8,8,157750,H1,,,False,,C,46.48,2.05162,0.89837,0.20823,0.24129006238745856,68.0481459448152,3368961.0,Difícil,2,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,9,9,157751,H4,,,False,,E,50.65,2.91253,0.48859,0.10089,0.17436846937096262,70.93854949088744,3368961.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,10,10,157779,H29,,,False,,D,31.66,1.74082,1.23944,0.11882,0.14075455645487112,79.76995383043338,3368961.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,11,11,153556,H13,,,False,,A,48.21,2.03689,0.74331,0.21068,0.2665948021940412,65.79783785738734,3368961.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,12,12,157615,H15,,,False,,E,46.45,1.64072,0.95986,0.19106,0.24309775738071357,67.94114577025361,3368961.0,Difícil,2,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,13,13,157598,H18,,,False,,C,29.75,1.56827,1.94895,0.23722,0.24142145401631812,73.89510548893932,3368961.0,Difícil,2,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,14,14,154020,H9,,,False,,A,76.45,2.44218,-0.02849,0.19639,0.6219305038979757,32.81701724663158,3368961.0,Fácil,0,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,15,15,157619,H10,,,False,,E,78.14,1.82096,-0.29844,0.19586,0.7714859586860421,22.504412685407267,3368961.0,Fácil,0,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,16,16,150612,H20,,,False,,B,47.82,2.21653,0.6224,0.19711,0.2673169394866336,65.88739893336881,3368961.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,17,17,153392,H17,,,False,,C,43.88,2.2343,0.80331,0.16272,0.20053559571947438,71.60718627823415,3368961.0,Difícil,2,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,18,18,150674,H2,,,False,,B,56.81,2.05176,0.63313,0.21138,0.2894557036737377,61.30187926120705,3368961.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,19,19,150643,H24,,,False,,E,40.63,2.25962,0.86097,0.1859,0.21465557956736847,71.82688732812105,3368961.0,Difícil,2,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,20,20,150940,H15,,,False,,B,38.47,1.17106,0.92453,0.04846,0.17880720954710308,74.9130313794383,3368961.0,Muito difícil,3,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,21,21,157571,H11,,,False,,C,64.4,2.29926,0.1859,0.18515,0.4507369590399092,48.162097662405905,3368961.0,Fácil,0,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,22,22,153400,H27,,,False,,E,33.4,4.6087,0.80546,0.10579,0.10741176557593916,81.32823523756396,3368961.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,23,23,157665,H21,,,False,,C,54.3,1.03891,0.31916,0.00705,0.3671885994457534,57.12774103602604,3368961.0,Fácil,0,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,24,24,153420,H20,,,False,,B,20.48,2.37816,1.72434,0.14733,0.14812943399574996,83.20358679027625,3368961.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,25,25,153419,H28,,,False,,D,55.05,0.67096,0.11449,0.00825,0.47179254118299724,50.06598482310518,3368961.0,Fácil,0,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,26,26,140908,H29,,,False,,E,11.76,4.01735,1.50486,0.06311,0.06314222855666836,91.77975514381656,3368961.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,27,27,140845,H2,,,False,,B,61.97,2.09447,0.20656,0.13133,0.4127737966715697,51.48020321634797,3368961.0,Fácil,0,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,28,28,120341,H19,,,False,,C,36.08,1.57743,0.96321,0.09612,0.159610582107452,76.99731216301562,3368961.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,29,29,150642,H23,,,False,,E,47.23,1.26109,1.31039,0.27904,0.32000824059528266,62.66896436130662,3368961.0,Médio,1,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,30,30,153681,H26,,,False,,D,36.47,3.6449,1.00902,0.2065,0.20802547879467082,73.7138438783464,3368961.0,Difícil,2,A+
