area,habilidade,co_item,pct_acerto,A,B,C,acertos,total
MT,H29,49227,29.71,1.25608,1.96379,0.24858,943993,3176917
MT,H6,125905,29.77,2.19978,1.77865,0.17051,945751,3176917
MT,H12,44510,30.32,3.04149,2.37391,0.30057,963384,3176917
MT,H6,141518,31.92,2.02129,1.26856,0.1775,1013990,3176917
MT,H18,117856,32.49,2.16927,1.82953,0.22624,1032101,3176917
MT,H8,28216,33.53,1.10653,1.83497,0.18515,1065321,3176917
MT,H14,111673,33.8,2.2167,2.02265,0.27721,1073857,3176917
MT,H5,63293,34.38,1.7134,1.91607,0.24889,1092151,3176917
MT,H26,83162,34.95,1.55368,1.18413,0.18289,1110199,3176917
MT,H11,125926,35.68,1.87604,1.07428,0.14024,1133630,3176917
MT,H9,86942,36.66,1.01265,2.90829,0.31125,1164574,3176917
MT,H16,31953,38.67,2.05503,1.52998,0.26701,1228441,3176917
MT,H24,50210,39.14,2.4952,0.97163,0.106,1243336,3176917
MT,H16,28587,41.05,1.69872,1.05549,0.16885,1304015,3176917
MT,H27,38222,41.59,1.5176,0.98928,0.20278,1321177,3176917
MT,H19,117625,41.71,2.7122,1.24373,0.27269,1325134,3176917
MT,H12,41895,44.9,1.45957,1.3946,0.2655,1426584,3176917
MT,H10,126023,45.32,1.6235,0.45598,0.1784,1439798,3176917
MT,H4,60344,45.52,1.84431,0.87782,0.13438,1446103,3176917
MT,H4,63313,49.28,1.42101,0.31713,0.01503,1565634,3176917
MT,H17,95625,49.61,1.20166,0.77428,0.16195,1575963,3176917
MT,H3,153134,52.57,1.25353,0.84993,0.21314,1670247,3176917
MT,H25,96852,59.52,1.55357,0.3164,0.23751,1891024,3176917
MT,H1,96979,61.48,1.5765,0.09067,0.17135,1953287,3176917
MT,H20,117764,63.6,1.4441,-0.18872,0.19786,2020421,3176917
