escola,area,habilidade,erro_pct,n_resp,erro_nacional
CEI Roberto Freire,LC,H15,40.0,140,57.5
CEI Roberto Freire,LC,H16,52.1,140,57.9
CEI Roberto Freire,LC,H17,30.0,140,61.5
CEI Roberto Freire,LC,H18,34.3,140,68.0
CEI Roberto Freire,LC,H19,41.4,70,63.9
CEI Roberto Freire,LC,H2,12.9,140,40.6
CEI Roberto Freire,LC,H20,42.9,140,65.8
CEI Roberto Freire,LC,H21,37.1,70,45.7
CEI Roberto Freire,LC,H22,32.1,140,60.7
CEI Roberto Freire,LC,H23,37.1,70,52.8
CEI Roberto Freire,LC,H24,30.7,140,53.5
CEI Roberto Freire,LC,H25,35.7,70,55.9
CEI Roberto Freire,LC,H26,12.9,140,38.3
CEI Roberto Freire,LC,H27,34.3,70,66.6
CEI Roberto Freire,LC,H28,50.0,70,45.0
CEI Roberto Freire,LC,H29,65.7,140,78.3
CEI Roberto Freire,LC,H3,40.0,70,56.1
CEI Roberto Freire,LC,H30,28.6,140,53.7
CEI Roberto Freire,LC,H4,13.6,140,47.2
CEI Roberto Freire,LC,H5,14.3,70,48.2
CEI Roberto Freire,LC,H6,13.0,138,37.5
CEI Roberto Freire,LC,H7,10.1,138,44.5
CEI Roberto Freire,LC,H9,6.4,140,26.5
CEI Roberto Freire,MT,H1,7.1,70,38.5
CEI Roberto Freire,MT,H10,7.1,70,54.7
CEI Roberto Freire,MT,H11,26.4,140,68.8
CEI Roberto Freire,MT,H12,45.7,140,62.4
CEI Roberto Freire,MT,H13,50.7,71,76.8
CEI Roberto Freire,MT,H14,37.1,70,66.2
CEI Roberto Freire,MT,H15,52.9,70,82.1
CEI Roberto Freire,MT,H16,28.6,140,60.1
CEI Roberto Freire,MT,H17,25.4,71,50.4
CEI Roberto Freire,MT,H18,59.3,140,79.2
CEI Roberto Freire,MT,H19,42.9,140,71.6
CEI Roberto Freire,MT,H2,59.3,140,78.0
CEI Roberto Freire,MT,H20,8.6,70,36.4
CEI Roberto Freire,MT,H22,68.6,70,80.6
CEI Roberto Freire,MT,H23,60.0,70,74.8
CEI Roberto Freire,MT,H24,18.6,70,60.9
CEI Roberto Freire,MT,H25,23.6,140,56.0
CEI Roberto Freire,MT,H26,24.3,70,65.0
CEI Roberto Freire,MT,H27,15.7,70,58.4
CEI Roberto Freire,MT,H28,42.9,140,79.9
CEI Roberto Freire,MT,H29,55.7,140,78.2
CEI Roberto Freire,MT,H3,50.0,140,66.2
CEI Roberto Freire,MT,H30,31.4,70,74.7
CEI Roberto Freire,MT,H4,12.9,140,52.6
CEI Roberto Freire,MT,H5,37.1,70,65.6
CEI Roberto Freire,MT,H6,37.4,139,69.2
CEI Roberto Freire,MT,H7,72.9,70,80.7
CEI Roberto Freire,MT,H8,51.8,139,68.8
CEI Roberto Freire,MT,H9,60.7,140,75.0
