POSICAO,NO_ENTIDADE,NO_MUNICIPIO,DEP,N_ALUNOS,MEDIA_5,CN,CH,LC,MT,REDACAO,CO_ESCOLA
69,ESCOLA ESTADUAL JOSE VERISSIMO,Belém,2.0,42,520.3,480.5,467.1,513.7,518.3,621.9,15040054
70,COLEGIO IMPACTO DE ICOARACI,Belém,4.0,26,519.3,502.6,511.6,523.3,494.4,564.6,15155005
71,ESCOLA ESTADUAL DUQUE DE CAXIAS,Belém,2.0,21,518.3,485.4,511.9,499.0,509.6,585.7,15039935
72,ESCOLA ESTADUAL PEDRO AMAZONAS PEDROSO,Belém,2.0,273,515.2,482.5,486.5,502.6,483.3,621.0,15038378
73,ESCOLA ESTADUAL DR ULYSSES GUIMARAES,Belém,2.0,120,513.8,483.3,502.5,513.3,477.5,592.5,15040380
74,INSTITUTO 15 DE AGOSTO SS LTDA,Belém,4.0,14,511.0,498.1,493.9,528.2,489.0,545.7,15041930
75,EE DE ENSINO TECNICO DE NIVEL MEDIO DR CELSO MALCHER,Belém,2.0,144,510.1,478.8,483.3,499.4,488.9,600.3,15540405
76,ESCOLA ESTADUAL LAURO SODRE,Belém,2.0,71,508.0,488.6,486.4,503.7,470.3,591.3,15039650
77,CENTRO EDUCACIONAL VITORIA,Belém,4.0,11,505.4,488.6,478.0,509.8,481.4,569.1,15149005
78,ESCOLA ESTADUAL PROFA RUTH DOS SANTOS ALMEIDA,Belém,2.0,77,505.0,483.5,490.4,507.3,486.5,557.4,15535347
79,EETEPA-BELEM,Belém,2.0,105,504.6,481.8,486.9,502.2,457.0,595.2,15098150
80,ESCOLA TECNICA ESTADUAL VILHENA ALVES,Belém,2.0,202,503.9,485.7,484.1,493.0,475.7,581.2,15040267
81,INSTITUTO DE EDUCACAO DO ESTADO DO PARA,Belém,2.0,137,497.7,468.2,474.0,499.0,462.0,585.1,15041794
82,ESCOLA ESTADUAL JARBAS PASSARINHO,Belém,2.0,60,494.5,464.4,487.0,495.9,457.0,568.3,15040011
83,ESCOLA ESTADUAL DOM PEDRO II,Belém,2.0,32,493.9,455.2,475.4,490.8,487.5,560.6,15039714
84,ESCOLA ESTADUAL PRESIDENTE COSTA E SILVA,Belém,2.0,29,493.8,476.6,483.4,477.1,451.3,580.7,15040461
85,ESCOLA ESTADUAL PROF TEMISTOCLES DE ARAUJO,Belém,2.0,32,493.7,470.9,481.4,489.1,462.9,564.4,15040526
86,E E E T PROF ANISIO TEIXEIRA,Belém,2.0,269,492.9,465.9,473.0,487.9,462.3,575.7,15209008
87,ESCOLA ESTADUAL CORNELIO DE BARROS,Belém,2.0,64,492.2,469.4,471.5,483.2,462.0,574.7,15039625
88,ESCOLA TECNICA ESTADUAL MAGALHAES BARATA,Belém,2.0,131,490.0,470.3,474.0,479.3,464.0,562.4,15041450
89,ESCOLA ESTADUAL DEODORO DE MENDONCA,Belém,2.0,105,488.6,465.7,482.9,487.0,445.1,562.5,15039641
90,ESCOLA ESTADUAL MAL CORDEIRO DE FARIAS,Belém,2.0,21,485.2,464.0,478.6,489.7,454.6,539.0,15040429
91,ESCOLA ESTADUAL CEL SARMENTO,Belém,2.0,110,484.3,458.4,457.3,478.7,451.0,576.0,15042820
92,ESCOLA ESTADUAL ALEXANDRE ZACARIAS DE ASSUNCAO,Belém,2.0,201,483.5,460.0,481.5,485.2,462.9,528.1,15039480
93,COLEGIO ESTADUAL PAES DE CARVALHO,Belém,2.0,401,482.1,463.9,470.5,483.0,455.5,537.7,15040364
94,ESCOLA ESTADUAL PROF FRANCISCO DA SILVA NUNES,Belém,2.0,111,481.7,470.5,472.7,477.0,465.0,523.4,15037215
95,ESCOLA ESTADUAL RODRIGUES PINAGE,Belém,2.0,27,481.4,462.7,475.1,475.8,437.9,555.6,15040534
96,ESCOLA ESTADUAL AUGUSTO MEIRA,Belém,2.0,59,480.6,464.5,472.6,470.8,455.9,539.0,15040348
97,ESCOLA ESTADUAL CONEGO BATISTA CAMPOS,Belém,2.0,13,480.6,440.3,465.1,490.8,469.7,536.9,15037991
98,ESCOLA ESTADUAL PROFA PLACIDIA CARDOSO,Belém,2.0,32,480.0,462.6,464.1,482.9,467.9,522.5,15039757
99,ESCOLA ESTADUAL DOM PEDRO I,Belém,2.0,198,479.8,475.2,476.9,488.4,470.8,487.6,15043568
